Year,False Video,True Video,Total
2006,567,0,567
2007,697,0,697
2008,588,0,588
2009,712,0,712
2010,542,0,542
2011,500,0,500
2012,374,8,382
2013,588,31,619
2014,459,40,499
2015,455,75,530
2016,334,80,414
2017,333,107,440
2018,237,100,337
2019,174,197,371
2020,27,29,56